[15687199, 369121]
Loading pretrained model:models/backbones/pretrained/3x3resnet50-imagenet.pth


Nbr of trainable parameters: 50246080

Epoch 2 completed | Ls 0.4528 Lu 0.0076 Lw 0.0020 PW 0.0000 IoU_l 0.0600 IoU_ul 0.0000
Epoch 2 completed | Ls 0.4446 Lu 0.0077 Lw 0.0020 PW 0.0000 IoU_l 0.0550 IoU_ul 0.0000
Epoch 2 completed | Ls 0.4367 Lu 0.0077 Lw 0.0020 PW 0.0000 IoU_l 0.0540 IoU_ul 0.0000
Epoch 2 completed | Ls 0.4250 Lu 0.0076 Lw 0.0020 PW 0.0000 IoU_l 0.0560 IoU_ul 0.0000
Epoch 2 completed | Ls 0.4117 Lu 0.0075 Lw 0.0020 PW 0.0000 IoU_l 0.0590 IoU_ul 0.0000
Epoch 2 completed | Ls 0.4002 Lu 0.0074 Lw 0.0020 PW 0.0000 IoU_l 0.0580 IoU_ul 0.0000
Epoch 2 completed | Ls 0.3893 Lu 0.0073 Lw 0.0020 PW 0.0000 IoU_l 0.0590 IoU_ul 0.0000
Epoch 2 completed | Ls 0.3761 Lu 0.0072 Lw 0.0020 PW 0.0000 IoU_l 0.0580 IoU_ul 0.0000
Epoch 2 completed | Ls 0.3728 Lu 0.0071 Lw 0.0020 PW 0.0000 IoU_l 0.0590 IoU_ul 0.0000
Epoch 2 completed | Ls 0.3636 Lu 0.0069 Lw 0.0020 PW 0.0000 IoU_l 0.0590 IoU_ul 0.0000
Epoch 2 completed | Ls 0.3533 Lu 0.0068 Lw 0.0020 PW 0.0000 IoU_l 0.0620 IoU_ul 0.0000
Epoch 2 completed | Ls 0.3457 Lu 0.0067 Lw 0.0020 PW 0.0000 IoU_l 0.0660 IoU_ul 0.0000
Epoch 2 completed | Ls 0.3383 Lu 0.0066 Lw 0.0020 PW 0.0000 IoU_l 0.0700 IoU_ul 0.0000
Epoch 2 completed | Ls 0.3334 Lu 0.0066 Lw 0.0020 PW 0.0000 IoU_l 0.0710 IoU_ul 0.0000
Epoch 2 completed | Ls 0.3282 Lu 0.0065 Lw 0.0020 PW 0.0000 IoU_l 0.0730 IoU_ul 0.0000
Epoch 2 completed | Ls 0.3211 Lu 0.0064 Lw 0.0020 PW 0.0000 IoU_l 0.0730 IoU_ul 0.0000
Epoch 2 completed | Ls 0.3175 Lu 0.0064 Lw 0.0020 PW 0.0000 IoU_l 0.0750 IoU_ul 0.0000
Epoch 2 completed | Ls 0.3120 Lu 0.0063 Lw 0.0020 PW 0.0000 IoU_l 0.0750 IoU_ul 0.0000
Epoch 2 completed | Ls 0.3065 Lu 0.0063 Lw 0.0020 PW 0.0000 IoU_l 0.0770 IoU_ul 0.0000
Epoch 2 completed | Ls 0.3023 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0800 IoU_ul 0.0000
Epoch 2 completed | Ls 0.2975 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0830 IoU_ul 0.0000
Epoch 2 completed | Ls 0.2942 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0830 IoU_ul 0.0000
Epoch 2 completed | Ls 0.2903 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0840 IoU_ul 0.0000
Epoch 2 completed | Ls 0.2859 Lu 0.0061 Lw 0.0020 PW 0.0000 IoU_l 0.0830 IoU_ul 0.0000
Epoch 2 completed | Ls 0.2830 Lu 0.0061 Lw 0.0020 PW 0.0000 IoU_l 0.0840 IoU_ul 0.0000
